R151.9	T06G6.9
C27A12.10	C53A5.3
F35H12.3	T28D6.9
F35H12.3	ZC434.6
T28D6.9	ZC434.6
C53A5.3	F35G12.8
C53A5.3	M106.1
C53A5.3	Y43F4B.6
F35G12.8	Y43F4B.6
M106.1	Y43F4B.6
C16C10.4	C53A5.3
C16C10.4	K07A1.12
C53A5.3	K07A1.12
C10E2.3	F43C1.2
F53H8.1	R11A5.1
F53H8.1	W09G10.4
F53H8.1	Y48G8AL.14
R11A5.1	W09G10.4
R11A5.1	Y48G8AL.14
W09G10.4	Y48G8AL.14
C27A12.10	F26F12.7
C27A12.10	K07A1.12
C53A5.3	F26F12.7
F26F12.7	K07A1.12
F28B3.7	K08A8.3
F28B3.7	Y47D3A.26
K08A8.3	Y47D3A.26
F18E2.3	F28B3.7
F18E2.3	K08A8.3
F18E2.3	Y47D3A.26
C38C10.5	F47A4.2
C38C10.5	Y113G7B.18
F47A4.2	Y113G7B.18
T04H1.4	ZC302.1
F46A9.5	ZK287.5
C01G8.9	R07E5.3
C01G8.9	T04C12.5
C01G8.9	W07G4.3
C01G8.9	Y113G7B.23
C01G8.9	Y71H2AM.17
R07E5.3	T04C12.5
R07E5.3	W07G4.3
R07E5.3	Y113G7B.23
R07E5.3	Y71H2AM.17
T04C12.5	W07G4.3
T04C12.5	Y113G7B.23
T04C12.5	Y71H2AM.17
W07G4.3	Y113G7B.23
W07G4.3	Y71H2AM.17
Y113G7B.23	Y71H2AM.17
T01G9.4	Y43F4B.4
T01G9.4	Y77E11A.13
T01G9.4	ZK328.5
Y43F4B.4	Y77E11A.13
Y43F4B.4	ZK328.5
Y77E11A.13	ZK328.5
C33H5.9	C43E11.8
C33H5.9	F09E5.5
C33H5.9	F52E4.7
C33H5.9	T23G7.4
C33H5.9	Y105E8B.2
C33H5.9	Y106G6H.7
C43E11.8	F09E5.5
C43E11.8	F52E4.7
C43E11.8	T23G7.4
C43E11.8	Y105E8B.2
C43E11.8	Y106G6H.7
F09E5.5	F52E4.7
F09E5.5	T23G7.4
F09E5.5	Y105E8B.2
F09E5.5	Y106G6H.7
F52E4.7	T23G7.4
F52E4.7	Y105E8B.2
F52E4.7	Y106G6H.7
T23G7.4	Y105E8B.2
T23G7.4	Y106G6H.7
Y105E8B.2	Y106G6H.7
F10B5.6	F10C5.1
F10B5.6	K06H7.6
F10B5.6	Y110A7A.17
F10B5.6	Y66D12A.17
F10C5.1	K06H7.6
F10C5.1	Y110A7A.17
F10C5.1	Y66D12A.17
K06H7.6	Y110A7A.17
K06H7.6	Y66D12A.17
Y110A7A.17	Y66D12A.17
R07E5.8	Y47D3A.4
R07E5.8	Y50D7A.4
Y47D3A.4	Y50D7A.4
F10B5.6	Y48G1C.12
F10C5.1	Y48G1C.12
K06H7.6	Y48G1C.12
Y110A7A.17	Y48G1C.12
Y48G1C.12	Y66D12A.17
F26H11.2	F37A4.8
F26H11.2	K07A1.12
F37A4.8	K07A1.12
C01F1.1	C06A1.5
C01F1.1	C26E6.4
C01F1.1	C36B1.3
C01F1.1	F23B2.13
C01F1.1	F26F4.11
C01F1.1	F36A4.7
C01F1.1	F43E2.2
C01F1.1	F54D5.11
C01F1.1	H27M09.2
C01F1.1	R02D3.3
C01F1.1	T16H12.4
C01F1.1	T20B12.2
C01F1.1	W01G7.3
C01F1.1	W03F9.5
C01F1.1	Y37E3.3
C01F1.1	Y39B6A.36
C01F1.1	Y50D7A.2
C01F1.1	Y54E10BR.6
C01F1.1	Y66D12A.15
C01F1.1	Y73F8A.24
C01F1.1	Y97E10AR.5
C01F1.1	ZK1128.4
C01F1.1	ZK550.4
C06A1.5	C26E6.4
C06A1.5	C36B1.3
C06A1.5	F23B2.13
C06A1.5	F26F4.11
C06A1.5	F36A4.7
C06A1.5	F43E2.2
C06A1.5	F54D5.11
C06A1.5	H27M09.2
C06A1.5	R02D3.3
C06A1.5	T16H12.4
